id,week_of_outbreak,state_ut,district,disease,cases,deaths,day,month,year,latitude,longitude,precipitation,lai,temp,disease_category,death_rate,date,lag_1,lag_2,lag_3,lag_6,lag_12,roll_3_mean,roll_6_mean,roll_3_std,roll_6_std,month_sin,month_cos,temp_change,precipitation_change,lai_change,spike_ratio,acceleration,growth_rate,outbreak_flag,outbreak_frequency_12m,log_cases,outbreak
3835,15th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,82.0,1,29,3,2015,13.1601048,79.15555062,0.001338916,9.0,313.108,Diarrheal Diseases,0.012048192771084338,2015-03-01,22.0,14.0,19.0,16.0,21.0,18.333333333333332,21.666666666666668,4.041451884327352,11.325487480310375,1.0,6.123233995736766e-17,15.613,-0.00016767499999999994,-5.0,4.241379310344827,8.0,0.15,1,2.0,4.418840607796598,1
3829,15th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,18.0,1,5,4,2015,13.1601048,79.15555062,0.008543949,7.0,310.95,Diarrheal Diseases,0.05263157894736842,2015-04-01,82.0,22.0,14.0,44.0,24.0,39.333333333333336,32.666666666666664,37.16629297271027,26.545558322752733,0.8660254037844387,-0.4999999999999998,-2.1580000000000155,0.0072050330000000004,-2.0,0.44628099173553715,60.0,4.533333333333333,0,3.0,2.9444389791664403,0
3889,20th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,23.0,1,10,5,2015,13.1601048,79.15555062,0.024838484,6.0,308.93,Diarrheal Diseases,0.041666666666666664,2015-05-01,18.0,82.0,22.0,15.0,70.0,40.666666666666664,28.333333333333332,35.85154575933001,26.44743213748108,0.49999999999999994,-0.8660254037844387,-2.019999999999982,0.016294535,-1.0,0.552,-64.0,-0.17391304347826086,0,3.0,3.1780538303479458,0
3919,22nd week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,16.0,1,29,5,2015,13.1601048,79.15555062,0.106136538,13.0,309.49,Diarrheal Diseases,0.058823529411764705,2015-05-01,23.0,18.0,82.0,19.0,29.0,41.0,29.666666666666668,35.59494346111537,25.835376263307392,0.49999999999999994,-0.8660254037844387,0.5600000000000023,0.08129805400000001,7.0,0.38095238095238093,5.0,-0.7108433734939759,0,2.0,2.833213344056216,0
3939,23rd week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,16.0,1,29,5,2015,13.1601048,79.15555062,0.106136538,13.0,309.49,Diarrheal Diseases,0.058823529411764705,2015-05-01,16.0,23.0,18.0,14.0,82.0,19.0,29.166666666666668,3.605551275463989,26.11066193467081,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,0.8,-7.0,-0.10526315789473684,0,2.0,2.833213344056216,0
3974,25th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,55.0,1,14,6,2015,13.1601048,79.15555062,0.48945949,14.0,306.42,Diarrheal Diseases,0.017857142857142856,2015-06-01,16.0,16.0,23.0,22.0,21.0,18.333333333333332,29.5,4.041451884327381,25.89015256810976,1.2246467991473532e-16,-1.0,-3.069999999999993,0.383322952,1.0,2.844827586206897,0.0,-0.2916666666666667,1,1.0,4.02535169073515,1
2655,4th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,52.0,1,30,1,2016,13.1601048,79.15555062,0.057555875,11.0,302.264,Diarrheal Diseases,0.018867924528301886,2016-01-01,55.0,16.0,16.0,82.0,16.0,29.0,35.0,22.516660498395403,27.437201023428035,0.49999999999999994,0.8660254037844387,-4.156000000000006,-0.431903615,-3.0,1.7333333333333334,39.0,2.2941176470588234,0,2.0,3.970291913552122,0
3055,26th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,75.0,1,26,6,2016,13.1601048,79.15555062,0.451717586,13.0,302.2,Diarrheal Diseases,0.013157894736842105,2016-06-01,52.0,55.0,16.0,18.0,44.0,41.0,30.0,21.702534414210707,18.406520583749675,1.2246467991473532e-16,-1.0,-0.06400000000002137,0.394161711,2.0,1.7857142857142858,-3.0,2.1176470588235294,1,2.0,4.330733340286331,1
3269,31st week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,11.0,1,29,7,2016,13.1601048,79.15555062,0.813832485,15.0,304.45,Diarrheal Diseases,0.08333333333333333,2016-07-01,75.0,52.0,55.0,23.0,15.0,60.666666666666664,39.5,12.50333288900737,24.631280924872755,-0.4999999999999997,-0.8660254037844388,2.25,0.36211489900000005,2.0,0.1783783783783784,23.0,0.35714285714285715,0,3.0,2.4849066497880004,0
3310,32nd week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,32.0,1,7,8,2016,13.1601048,79.15555062,0.001476694,17.0,299.2466666,Diarrheal Diseases,0.030303030303030304,2016-08-01,11.0,75.0,52.0,16.0,19.0,46.0,37.5,32.41913015489465,26.643948656308446,-0.8660254037844385,-0.5000000000000004,-5.203333399999963,-0.8123557910000001,2.0,0.6808510638297872,-64.0,-0.7735849056603774,0,3.0,3.4965075614664802,0
3624,41st week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,12.0,1,29,9,2016,13.1601048,79.15555062,0.277544499,10.0,302.16,Diarrheal Diseases,0.07692307692307693,2016-09-01,32.0,11.0,75.0,16.0,14.0,39.333333333333336,40.166666666666664,32.624121954978854,24.79852146130223,-1.0,-1.8369701987210297e-16,2.913333399999999,0.276067805,-7.0,0.2975206611570248,21.0,-0.5657894736842105,0,3.0,2.5649493574615367,0
1412,7th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,42.0,1,11,2,2018,13.1601048,79.15555062,0.09335976,11.0,304.23,Diarrheal Diseases,0.023255813953488372,2018-02-01,12.0,32.0,11.0,55.0,22.0,18.333333333333332,39.5,11.846237095944575,25.61835279638409,0.8660254037844386,0.5000000000000001,2.069999999999993,-0.184184739,1.0,2.1724137931034484,-20.0,0.08333333333333333,0,3.0,3.7612001156935624,0
879,25th week,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,35.0,1,19,6,2019,13.1601048,79.15555062,0.018587873,8.0,310.12,Diarrheal Diseases,0.027777777777777776,2019-06-01,42.0,12.0,32.0,52.0,82.0,28.666666666666668,37.333333333333336,15.275252316519467,24.573698676973052,1.2246467991473532e-16,-1.0,5.889999999999986,-0.074771887,-3.0,1.1797752808988764,30.0,0.30303030303030304,0,3.0,3.58351893845611,0
5321,11th week,Andhra Pradesh,Chittoor,Chikungunya,12.0,1,15,3,2013,13.1601048,79.15555062,0.000176909,10.0,308.26,Chikungunya,0.07692307692307693,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,-1.8600000000000136,-0.018410964000000002,2.0,12.0,0.0,0.0,0,0.0,2.5649493574615367,0
2021,12th week,Andhra Pradesh,Chittoor,Dengue,63.0,1,4,3,2017,13.1601048,79.15555062,0.00027002,8.0,306.12,Dengue,0.015625,2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,-2.1399999999999864,9.3111e-05,-2.0,63.0,0.0,0.0,1,0.0,4.1588830833596715,1
7549,32nd week,Andhra Pradesh,Chittor,Acute Diarrhoeal Disease,29.0,0,9,8,2011,13.2178147,79.0929361,0.062535624,9.0,296.94,Diarrheal Diseases,0.0,2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,29.0,0.0,0.0,0,0.0,3.4011973816621555,0
6402,20th week,Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,29.0,1,16,5,2012,14.4956602,78.8349278,0.101656232,9.0,314.0666666,Diarrheal Diseases,0.03333333333333333,2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,0.0,0.0,0.0,29.0,0.0,0.0,0,0.0,3.4011973816621555,0
3042,25th week,Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,14.0,1,13,6,2016,14.4956602,78.8349278,0.296688057,6.0,309.54,Diarrheal Diseases,0.06666666666666667,2016-06-01,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,-4.526666599999999,0.195031825,-3.0,14.0,29.0,29.0,0,0.0,2.70805020110221,0
3196,29th week,Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,42.0,1,12,7,2016,14.4956602,78.8349278,0.104076856,9.0,301.12,Diarrheal Diseases,0.023255813953488372,2016-07-01,14.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-8.420000000000016,-0.192611201,3.0,42.0,-15.0,14.0,0,0.0,3.7612001156935624,0
