id,week_of_outbreak,state_ut,district,disease,cases,deaths,day,month,year,latitude,longitude,precipitation,lai,temp,disease_category,death_rate
2892,21st week,Rajasthan,Tonk,Acute Diarrhoeal Disease,22.0,2,21,5,2016,26.12214725,75.66375374,0.000615785,3.0,322.9733334,Diarrheal Diseases,0.08695652173913043
2893,21st week,Uttarakhand,Rudraprayag,Acute Diarrhoeal Disease,48.0,1,24,5,2016,30.3009965,79.06287965,0.175543353,9.0,300.1233334,Diarrheal Diseases,0.02040816326530612
2894,21st week,Uttar Pradesh,Mau,Acute Diarrhoeal Disease,20.0,1,27,5,2016,26.0376878,83.49793418,0.260129612,4.0,308.24,Diarrheal Diseases,0.047619047619047616
2895,21st week,West Bengal,Purulia,Cholera,53.0,0,30,5,2016,23.3291882,86.3672378,0.196499884,7.0,307.6733334,Diarrheal Diseases,0.0
2896,21st week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,19.0,0,22,5,2016,22.5760669,88.42006758,1.207549647,8.0,302.65,Diarrheal Diseases,0.0
2897,21st week,West Bengal,Burdwan,Acute Diarrhoeal Disease,52.0,0,21,5,2016,23.2495714,87.8681751,0.225514059,6.0,304.492,Diarrheal Diseases,0.0
2898,21st week,West Bengal,Purulia,Cholera,117.0,2,29,5,2016,23.3291882,86.3672378,0.284331808,7.0,307.295,Diarrheal Diseases,0.01694915254237288
2899,21st week,Assam,Kamrup,Dengue,27.0,1,24,4,2016,26.12755515,91.29987148,1.413359437,12.0,297.76,Dengue,0.03571428571428571
2900,21st week,Bihar,Gaya,Malaria,271.0,0,9,5,2016,24.7964355,85.0079563,0.147898281,4.0,314.3766666,Malaria,0.0
2901,21st week,Bihar,Gaya,Acute Diarrhoeal Disease,44.0,0,27,4,2016,24.7964355,85.0079563,5.56e-05,3.0,318.75,Diarrheal Diseases,0.0
2902,21st week,Chhattisgarh,Dhamtari,Acute Diarrhoeal Disease,236.0,0,18,5,2016,20.7084545,81.5481305,0.031860122,9.0,314.736,Diarrheal Diseases,0.0
2903,21st week,Himachal Pradesh,Solan,Acute Gastroenteritis,17.0,2,25,4,2016,30.92589585,77.08200509,0.025044662,19.0,302.0733334,Diarrheal Diseases,0.1111111111111111
2904,21st week,Kerala,Pathanamthitta,Dengue,13.0,1,26,4,2016,9.2780841,76.9737443,0.260093451,37.0,303.544,Dengue,0.07142857142857142
2905,21st week,Tamil Nadu,Salem,Malaria,19.0,0,13,4,2016,11.0600516,77.0679581,0.066721741,6.0,309.768,Malaria,0.0
2906,21st week,Uttar Pradesh,Chandauli,Acute Diarrhoeal Disease,36.0,1,12,5,2016,25.1265777,83.24965577,0.045074223,5.0,315.82,Diarrheal Diseases,0.02702702702702703
2907,21st week,West Bengal,Jalpaiguri,Acute Diarrhoeal Disease,71.0,1,7,5,2016,26.4733048,88.67886686,0.487725339,22.5,300.4733334,Diarrheal Diseases,0.013888888888888888
2908,22nd week,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,11.0,0,2,6,2016,14.6546235,77.55625984,0.097205406,4.0,312.5,Diarrheal Diseases,0.0
2909,22nd week,Assam,Cachar,Acute Diarrhoeal Disease,36.0,1,2,6,2016,24.75863995,92.88166476,0.285501384,25.0,301.66,Diarrheal Diseases,0.02702702702702703
2910,22nd week,Gujarat,Gandhi Nagar,Acute Diarrhoeal Disease,15.0,0,3,6,2016,23.06016515,72.58063822,0.007965288,4.0,313.12,Diarrheal Diseases,0.0
2911,22nd week,Gujarat,Junagadh,Dengue,23.0,0,3,6,2016,21.5174104,70.4642754,0.011928471,4.0,312.2166666,Dengue,0.0
2912,22nd week,Gujarat,Sabarkantha,Acute Gastroenteritis,27.0,0,2,6,2016,24.0294885,73.0459884,0.009809508,5.0,311.0433334,Diarrheal Diseases,0.0
2913,22nd week,Karnataka,Bangalore Rural,Chikungunya,19.0,1,29,5,2016,13.0010872,77.3361225,0.089640898,9.0,308.035,Chikungunya,0.05
2914,22nd week,Karnataka,Koppal,Acute Gastroenteritis,11.0,0,2,6,2016,15.3484144,76.1547421,0.05715569,3.0,314.17,Diarrheal Diseases,0.0
2915,22nd week,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,41.0,0,29,5,2016,26.166667,77.5,0.020937162,3.0,308.75,Diarrheal Diseases,0.0
2916,22nd week,Madhya Pradesh,Sagar,Acute Diarrhoeal Disease,19.0,1,31,5,2016,23.80961225,78.75911361,0.026382796,4.0,312.2266666,Diarrheal Diseases,0.05
2917,22nd week,Maharashtra,Ahmednagar,Acute Diarrhoeal Disease,35.0,1,28,5,2016,19.1627725,74.8580243,0.008922859,2.0,320.09,Diarrheal Diseases,0.027777777777777776
2918,22nd week,Maharashtra,Nagpur,Acute Diarrhoeal Disease,208.0,1,31,5,2016,21.1498134,79.0820556,4.87e-05,4.0,318.76,Diarrheal Diseases,0.004784688995215311
2919,22nd week,Odisha,Angul,Acute Diarrhoeal Disease,38.0,1,2,6,2016,20.8382426,85.0973949,0.042490147,14.0,307.2333334,Diarrheal Diseases,0.02564102564102564
2920,22nd week,Punjab,Jalandhar,Acute Diarrhoeal Disease,20.0,0,6,6,2016,31.29201065,75.56805772,0.003103501,4.0,314.46,Diarrheal Diseases,0.0
2921,22nd week,Punjab,Patiala,Cholera,480.0,2,6,6,2016,30.2090874,76.33987209,0.025003621,3.0,314.3266666,Diarrheal Diseases,0.004158004158004158
2922,22nd week,Rajasthan,Dausa,Acute Diarrhoeal Disease,14.0,0,4,6,2016,26.80486585,76.4437457,0.00837811,3.0,319.576,Diarrheal Diseases,0.0
2923,22nd week,Rajasthan,Jaipur,Acute Gastroenteritis,29.0,0,29,5,2016,26.9154576,75.8189817,0.025912712,3.0,312.97,Diarrheal Diseases,0.0
2924,22nd week,Tamil Nadu,Dindigul,Dengue,92.0,0,3,6,2016,10.3303299,78.06739791,0.359155809,12.0,308.392,Dengue,0.0
2925,22nd week,Uttar Pradesh,Hardoi,Acute Diarrhoeal Disease,18.0,1,29,5,2016,27.33857665,80.09752646,0.288833604,4.0,305.195,Diarrheal Diseases,0.05263157894736842
2926,22nd week,Uttar Pradesh,Hardoi,Acute Diarrhoeal Disease,34.0,1,29,5,2016,27.33857665,80.09752646,0.288833604,4.0,305.195,Diarrheal Diseases,0.02857142857142857
2927,22nd week,West Bengal,Bankura,Acute Diarrhoeal Disease,26.0,0,2,6,2016,23.13195425,87.2073972,0.375796546,10.0,306.7533334,Diarrheal Diseases,0.0
2928,22nd week,West Bengal,Bankura,Acute Diarrhoeal Disease,28.0,0,26,5,2016,23.13195425,87.2073972,0.230067841,10.0,305.62,Diarrheal Diseases,0.0
