id,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,month,year,Latitude,Longitude,precipitation,LAI,Temp,Disease_Category
2276,30th week,Jammu and Kashmir,Kupwara,Acute Diarrhoeal Disease,325,0,27,7,2017,34.6110236,74.23847867,0.507790196,13.5,290.4833334,Diarrheal Diseases
2277,30th week,Karnataka,Ramanagara,Chikungunya,34,0,20,7,2017,12.7252766,77.2804797,0.495558107,6.0,303.8266666,Chikungunya
2278,30th week,Kerala,Pathanamthitta,Cholera,4,1,20,7,2017,9.2780841,76.9737443,0.416627417,9.0,298.85,Diarrheal Diseases
2279,30th week,Maharashtra,Gadchiroli,Malaria,127,1,20,7,2017,19.75907035,80.16228073,3.48293604,12.5,303.5025,Malaria
2280,30th week,Madhya Pradesh,Khandwa,Acute Diarrhoeal Disease,165,1,23,7,2017,21.9778642,76.56882823,1.051537324,8.0,302.26,Diarrheal Diseases
2281,30th week,Madhya Pradesh,Narsinghpur,Acute Diarrhoeal Disease,14,1,26,7,2017,22.9467047,79.1980228,0.475505699,2.0,304.8,Diarrheal Diseases
2282,30th week,Madhya Pradesh,Sidhi,Acute Diarrhoeal Disease,16,1,26,7,2017,24.25,82.0,2.500361904,2.0,300.9,Diarrheal Diseases
2283,30th week,Punjab,Ludhiana,Cholera,106,1,30,7,2017,30.9090157,75.851601,0.338010087,13.0,303.344,Diarrheal Diseases
2284,30th week,Tamil Nadu,Villupuram,Acute Diarrhoeal Disease,54,0,29,7,2017,11.9415377,79.4861469,0.06536877,9.0,311.732,Diarrheal Diseases
2285,30th week,Telangana,Khammam,Dengue,26,0,24,7,2017,17.5,80.333333,0.838616258,10.0,300.27,Dengue
2286,30th week,Uttar Pradesh,Azamgarh,Acute Diarrhoeal Disease,11,2,28,7,2017,26.02269675,83.02887343,1.465155439,3.5,303.44,Diarrheal Diseases
2287,30th week,Uttarakhand,Rudraprayag,Acute Diarrhoeal Disease,13,1,21,7,2017,30.3009965,79.06287965,1.602749148,11.0,284.4933334,Diarrheal Diseases
2288,30th week,Maharashtra,Kolhapur,Acute Diarrhoeal Disease,41,1,17,7,2017,16.7028412,74.2405329,0.28130785,6.0,305.82,Diarrheal Diseases
2289,30th week,Manipur,Churachandpur,Dengue,29,1,4,5,2017,24.378704,93.6970015,0.130061748,53.0,301.3833334,Dengue
2290,31st week,Andhra Pradesh,Cuddapah,Acute Diarrhoeal Disease,51,1,31,7,2017,14.4956602,78.8349278,0.087073812,6.0,308.0466666,Diarrheal Diseases
2291,31st week,Chhattisgarh,Janjgir,Acute Diarrhoeal Disease,18,0,29,7,2017,22.0090841,82.578896,1.947495509,6.0,301.62,Diarrheal Diseases
2292,31st week,Chhattisgarh,Korba,Acute Diarrhoeal Disease,58,0,30,7,2017,22.3547468,82.7110855,1.630682322,6.0,294.195,Diarrheal Diseases
2293,31st week,Chhattisgarh,Korba,Acute Diarrhoeal Disease,43,0,31,7,2017,22.3547468,82.7110855,1.471739798,6.0,294.195,Diarrheal Diseases
2294,31st week,Gujarat,Anand,Acute Diarrhoeal Disease,33,0,2,8,2017,22.5584995,72.9625629,1.074812929,7.0,299.44,Diarrheal Diseases
2295,31st week,Jammu and Kashmir,Baramulla,Acute Diarrhoeal Disease,289,1,31,7,2017,34.20500565,74.36221081,0.233832478,22.0,297.0233334,Diarrheal Diseases
2296,31st week,Jammu and Kashmir,Kulgam,Acute Diarrhoeal Disease,85,1,2,8,2017,33.66980055,75.01480232,0.709147762,20.0,293.25,Diarrheal Diseases
2297,31st week,Jammu and Kashmir,Jammu and Kashmir,Acute Diarrhoeal Disease,12,1,4,8,2017,32.7185614,74.8580917,1.594628235,18.0,286.9866666,Diarrheal Diseases
2298,31st week,Karnataka,Chikkaballapura,Chikungunya,62,1,27,7,2017,13.4358702,77.7312434,0.031863166,6.0,307.732,Chikungunya
2299,31st week,Karnataka,Chitradurga,Dengue,23,0,3,8,2017,14.2266443,76.4005122,0.076541508,5.0,308.88,Dengue
2300,31st week,Karnataka,Dharwad,Acute Diarrhoeal Disease,46,0,29,7,2017,15.4540505,75.0066516,0.198182622,4.0,304.375,Diarrheal Diseases
2301,31st week,Karnataka,Hassan,Acute Diarrhoeal Disease,26,0,2,8,2017,13.0070817,76.0992703,0.187509129,7.0,305.82,Diarrheal Diseases
2302,31st week,Kerala,Kozhikode,Cholera,6,0,1,8,2017,11.2450558,75.7754716,0.266619014,9.0,303.3241667,Diarrheal Diseases
2303,31st week,Madhya Pradesh,Khandwa,Cholera,34,1,2,8,2017,21.9778642,76.56882823,0.446496021,11.0,298.04,Diarrheal Diseases
2304,31st week,Madhya Pradesh,Sehore,Dengue,32,0,2,8,2017,23.1156882,77.06623939,1.105708936,10.0,300.4275,Dengue
2305,31st week,Madhya Pradesh,Sehore,Acute Diarrhoeal Disease,84,0,2,8,2017,23.1156882,77.06623939,1.105708936,10.0,300.4275,Diarrheal Diseases
2306,31st week,Rajasthan,Kota,Acute Diarrhoeal Disease,34,1,25,7,2017,25.1737019,75.8574194,0.832415305,5.0,313.86,Diarrheal Diseases
2307,31st week,Tamil Nadu,Madurai,Dengue,49,0,31,7,2017,9.9261153,78.1140983,0.050558371,5.0,315.348,Dengue
